Brand,Date,Day,Index,Beverage,Beer,Wine,Liquor,Miscellaneous1,Retail Sales,Food Supplies,Labor,Cash Flow,Ordered,Quantity,Unit Cost,Ext Value,Extra_0,Extra_1,Extra_2,Extra_3,Extra_4,Extra_5,Extra_6,Extra_7,Extra_8,Extra_9,Extra_10,Extra_11,Extra_12,Extra_13,Extra_14,Extra_15,Extra_16,Extra_17,Extra_18,Extra_19,Extra_20,Extra_21
1.0,Winstar World CasinoTraditions,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1.0,Scanned On 12312023 84920 PM,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1.0,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1.0,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Brand,Bin,1.0,Tobys Keith,Totals,Unit Cost,Ext Value,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , 
Nestle Water btl Case 2018,1.0,2,2,0,0,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
White claw black berry 12ml,1.0,24,24,0,0,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Misc Total,1.0,26,26,0,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Blue Moon Can 12oz,1.0,66,66,1,66,Miscellaneous,112528,import,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , 
Coop 66 12oz,1.0,34,34,131,4454,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Coop F5 12oz,1.0,38,38,143,5434,Miscellaneous,92286,Domestic,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , 
Coop HT 12oz,1.0,24,24,143,3432,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Coop IPA Ice Chest 12oz,1.0,9,9,114,1026,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Corona Can 12oz,1.0,62,62,129,7998,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Dos Equis Lager Cans 12oz,1.0,19,19,133,2527,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Estrella Jalisco Btl 12oz,1.0,9,9,112,1008,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Guinness Extra Stout Btl 12oz,1.0,6,6,131,786,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Heineken Can 12oz,1.0,12,12,133,1596,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Modelo Especial Can 12oz,1.0,57,57,118,6726,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Shiner can 16oz,1.0,51,51,107,5457,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Shock Top Cans 12oz,1.0,14,14,105,147,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Stella Artois Cans 12oz,1.0,156,156,107,16692,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Stella Artois Cidre Apple Cider Btl 12oz,1.0,10,10,15,15,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Beer60 Import Subtotal,1.0,567,567,66706,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Modelo keg 155gal,1.0,1,1,152,152,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Shock Top Belgian White Keg 12 Barrel 155gal,1.0,01,01,97,97,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Stella Keg 1984oz,1.0,1,1,103,103,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Beer60 Import Draft Subtotal,1.0,21,21,2647,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Bud Light Aluminum Btl 16oz,1.0,5,5,105,525,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Bud Light cans 16oz,1.0,11,11,105,1155,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Budweiser Aluminum can 16oz,1.0,69,69,105,7245,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Coors Banquet 16oz,1.0,66,66,099,6534,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Mich Ultra Cans 16oz,1.0,6,6,118,708,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Miller Lite Can 16oz,1.0,13,13,108,1404,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
BeerDomestic Subtotal,1.0,170,170,17571,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Bud Light Keg 1984oz,1.0,325,325,103,33475,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Budweiser 12 barrel Keg 155gal,1.0,24,24,86,2064,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Michelob Ultra Keg 155gal,1.0,2,2,103,206,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
BeerDomestic Draft Subtotal,1.0,765,765,74715,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
White,Claw Mango 12oz,1.0,oz,18,18,136,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , 
White Claw,Blackberry 12oz,1.0,oz,11,11,136,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , 
BeerSparkling Subtotal,1.0,29,29,3944,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Beer Total,1.0,77575,77575,189406,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Angostura Bitters 4oz,1.0,1,1,1,1,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Bluebird Grapefruit 115oz,1.0,3,3,073,219,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Finest Call Grenadine Syrup 1L,1.0,7,7,366,2562,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Finest Call Margarita Mix 1L,1.0,24,24,358,8592,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Finest Call Peach Puree Mix 1L,1.0,17,17,321,5457,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Finest Call Watermelon Puree 1L,1.0,131,131,366,47946,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Ginger Ale 8oz,1.0,30,30,027,81,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Goslings Ginger Beer 12oz,1.0,37,37,087,3219,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Juice Sun Berry Cranberry juice 1L,1.0,19,19,215,4085,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Juice Sun Berry Orange juice 1L,1.0,27,27,189,5103,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Juice Sun Berry Pineapple juice 1L,1.0,39,39,2,78,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Juice Tomato 6oz,1.0,24,24,036,864,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
MIX COCKTAIL Bloody Mary 1L,1.0,4,4,385,154,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
MIX COCKTAIL Triple Sec 1L,1.0,745,745,327,243615,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Mix Finest Call Pina Colada Mix 1L,1.0,9,9,301,2709,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Mix Finest Call Strawberry Puree 1L,1.0,13,13,337,4381,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Mix Finest Call Sweet,Sour 1L,1.0,ltr,23,23,327,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , 
Monin Spicy Mango 1L,1.0,5,5,796,398,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Ronson Stuffed Olives 1gal,1.0,1,1,1322,1322,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
White Rock Tonic Water 10oz,1.0,24,24,061,1464,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
FoodBar condiments and mixers Subtotal,1.0,32755,32755,6895875,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Food Total,1.0,32755,32755,6895875,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Desert Island Long Island Ice Tea 1L,1.0,525,525,719,377475,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
LiquorAMisc Subtotal,1.0,525,525,377475,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Bacardi Superior Light Rum 1L,1.0,385,385,128,4928,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
